SA22018_V1_NAME,LATITUDE,LONGITUDE
North Cape,-34.50545276,172.77555
Rangaunu Harbour,-34.91627744,173.1374428
Inlets Far North District,-35.21850133,174.1582494
Karikari Peninsula,-34.99527816,173.3787384
Tangonge,-35.12314727,173.2186041
Ahipara,-35.15951697,173.1609194
Kaitaia East,-35.10383477,173.264143
Kaitaia West,-35.1217817,173.267174
Rangitihi,-35.12785001,173.3112224
Oruru-Parapara,-35.03331749,173.4612756
Taumarumaru,-34.99672682,173.507744
Herekino-Takahue,-35.18964254,173.3724075
Peria,-35.12407747,173.4481379
Taemaro-Oruaiti,-35.02535123,173.5789038
Whakapaku,-35.04987698,173.6629986
Hokianga North,-35.36850897,173.338401
Kohukohu-Broadwood,-35.29006863,173.4636267
Whakarara,-35.0629133,173.8499131
Kaeo,-35.15410315,173.7433197
Omahuta Forest-Horeke,-35.28834375,173.6178025
Hokianga South,-35.46801387,173.484387
Lake Manuwai-Kapiro,-35.18267324,173.8653501
Okaihau,-35.28661159,173.7908156
Rangitane-Purerua,-35.13418331,173.9391431
Waipapa,-35.2099338,173.918414
Puketotara,-35.2517628,173.9033075
Waima Forest,-35.48716638,173.6295263
Riverview,-35.20805962,173.9624342
Waipoua Forest,-35.58128435,173.511349
Kerikeri Central,-35.22507309,173.950963
Kerikeri South,-35.24639884,173.9577874
Ohaeawai-Waimate North,-35.33520904,173.8599237
Puketona-Waitangi,-35.27991822,174.0009525
Ngapuhi,-35.4228326,173.7653484
Kaikohe,-35.40792422,173.7976752
Pakaraka,-35.36746635,173.9844629
Haruru,-35.27932636,174.0592127
Russell,-35.25653762,174.1244661
Paihia,-35.28609895,174.0931179
Mataraua Forest,-35.54715526,173.8053652
Matawaia-Taumarere,-35.49406405,173.9526631
Russell Peninsula,-35.28679106,174.1622818
Opua (Far North District),-35.32270229,174.1000261
Russell Forest-Rawhiti,-35.36879174,174.2260603
Moerewa,-35.38372176,174.0251707
Kawakawa,-35.37897674,174.075755
Maromaku,-35.47825535,174.1413276
Mangakahia-Hukerenui,-35.65301955,174.0023164
Whangaruru,-35.48991999,174.3350113
Inlets other Whangarei District,-35.370714,174.3469273
Matarau,-35.66728748,174.2098716
Hikurangi,-35.5944828,174.2871618
Kauri,-35.62944367,174.2866567
Maungatapere,-35.76206371,174.1547373
Kamo West,-35.67006476,174.2950745
Matapouri-Tutukaka,-35.59792832,174.4780223
