SA22018_V1_NAME,Pop_Total_2006,Pop_Total_2013,Pop_Total_2018
North Cape,1338,1371,1602
Rangaunu Harbour,2010,2028,2310
Inlets Far North District,63,63,45
Karikari Peninsula,942,1164,1251
Tangonge,1041,1131,1134
Ahipara,1095,1032,1230
Kaitaia East,2130,1983,2388
Kaitaia West,3072,2904,3483
Rangitihi,810,819,936
Oruru-Parapara,690,687,846
Taumarumaru,1680,1812,2193
Herekino-Takahue,966,927,963
Peria,1011,951,1107
Taemaro-Oruaiti,729,666,867
Whakapaku,705,708,744
Hokianga North,813,744,795
Kohukohu-Broadwood,747,624,726
Whakarara,1104,1026,1344
Kaeo,1077,1005,1191
Omahuta Forest-Horeke,1017,888,1056
Hokianga South,1065,1239,1236
Lake Manuwai-Kapiro,1644,1896,2133
Okaihau,1077,1131,1236
Rangitane-Purerua,1182,1164,1506
Waipapa,537,714,870
Puketotara,1293,1380,1677
Waima Forest,1029,873,1095
Riverview,1776,1791,2109
Waipoua Forest,1119,1035,1215
Kerikeri Central,2049,2130,2502
Kerikeri South,1665,2094,2553
Ohaeawai-Waimate North,864,933,1140
Puketona-Waitangi,1107,1140,1335
Ngapuhi,1506,1371,1797
Kaikohe,4041,3855,4437
Pakaraka,507,555,666
Haruru,786,867,1077
Russell,786,702,762
Paihia,1299,1290,1512
Mataraua Forest,546,477,507
Matawaia-Taumarere,1224,1146,1374
Russell Peninsula,492,525,606
Opua (Far North District),1107,1008,1137
Russell Forest-Rawhiti,648,660,690
Moerewa,1410,1344,1632
Kawakawa,1326,1215,1464
Maromaku,714,666,774
Mangakahia-Hukerenui,1683,1641,1923
Whangaruru,2067,2100,2520
Inlets other Whangarei District,9,24,9
Matarau,2277,2553,2979
Hikurangi,1419,1410,1617
Kauri,1338,1488,1746
Maungatapere,2757,2994,3477
Kamo West,1752,1983,2205
Matapouri-Tutukaka,1203,1347,1692
Kiripaka,717,888,993
Kamo East,1926,2268,2871
Granfield Reserve,2268,2856,3099
Kamo Central,1530,1494,1680
Whau Valley,2601,2538,2799
Tikipunga North,2331,2097,3003
Pukenui,1302,1638,2040
Otangarei,2139,1635,2109
Tikipunga South,3432,3387,3903
